Customer No.	Exposure at Default (in lakh Rs.)	 Recovery (%) 	Probability of Default
825	0.92	 0.34 	0.0029
826	17.8	 0.10 	0.0036
827	14.06	 0.38 	0.0022
828	14.11	 0.23 	0.0078
829	9.32	 0.23 	0.008
830	17.06	 0.31 	0.0052
831	16.23	 0.03 	0.0079
832	17.84	 0.03 	0.0092
833	21.15	 0.12 	0.0089
834	5.87	 0.07 	0.0046
835	16.48	 0.29 	0.0012
836	22.36	 0.39 	0.0035
837	8	 0.23 	0.008
838	0.04	 0.36 	0.0069
839	7.83	 0.32 	0.0066
840	9.45	 0.14 	0.0014
841	18.17	 0.37 	0.0055
842	8.08	 0.05 	0.0018
843	4.09	 0.36 	0.0043
844	10.06	 0.38 	0.0006
845	0.82	 0.29 	0.0063
846	7.49	 0.35 	0.0029
847	19.75	 0.12 	0.0012
848	4.39	 0.20 	0.0006
849	21.66	 0.18 	0.0042
850	15.06	 0.26 	0.0024
851	21.07	 0.03 	0.0006
852	2.78	 0.00 	0.0099
853	6.94	 0.08 	0.0071
854	15.63	 0.25 	0.008
855	19.92	 0.38 	0.0022
856	0.52	 0.24 	0.0064
857	1.93	 0.29 	0.0017
858	12.14	 0.15 	0.0035
859	0.12	 0.34 	0.0087
860	11.78	 0.33 	0.0006
861	0.76	 0.13 	0.0009
862	5.35	 0.17 	0.008
863	3.63	 0.40 	0.0093
864	14.3	 0.28 	0.0069
865	23.37	 0.15 	0.0047
866	24.48	 0.12 	0.0068
867	13.75	 0.14 	0.0074
868	13.22	 0.22 	0.0055
869	6.15	 0.15 	0.0023
870	6.06	 0.34 	0.0052
871	1.84	 0.12 	0.0035
872	20.27	 0.20 	0.0072
873	12.45	 0.09 	0.0031
874	17.06	 0.20 	0.0034
875	12.99	 0.12 	0.0039
876	13.86	 0.29 	0.0064
877	11.1	 0.39 	0.0004
878	9.61	 0.20 	0.0015
879	5.97	 0.21 	0.0087
880	10.72	 0.39 	0.0026
881	3.14	 0.36 	0.0042
882	8.41	 0.31 	0.0075
883	22.45	 0.04 	0.0076
884	10.52	 0.33 	0.0004
885	7.46	 0.11 	0.0035
886	10.14	 0.15 	0.0095
887	18.18	 0.40 	0.0046
888	16.94	 0.17 	0.0061
889	15.15	 0.19 	0.0016
890	2.37	 0.25 	0.0062
891	6.98	 0.00 	0.0041
892	14.65	 0.12 	0.0044
893	14.49	 0.24 	0.0081
894	3.17	 0.22 	0.0051
895	9.08	 0.39 	0.0016
896	14.46	 0.12 	0.0088
897	9.73	 0.39 	0.0059
898	12.55	 0.36 	0.008
899	0.29	 0.25 	0.0098
900	13.13	 0.35 	0.0033
901	5.39	 0.24 	0.0013
902	12.71	 0.28 	0.0048
903	13.98	 0.04 	0.0032
904	13.99	 0.37 	0.0064
905	21.2	 0.28 	0.0061
906	0.55	 0.26 	0.0023
907	20.9	 0.17 	0.0076
908	20.03	 0.38 	0.0077
909	19.76	 0.30 	0.0071
910	7.69	 0.17 	0.0069
911	6.82	 0.08 	0.0032
912	16.49	 0.31 	0.0027
913	18.03	 0.34 	0.0069
914	14.89	 0.15 	0.0029
915	2.31	 0.35 	0.0031
916	9.89	 0.30 	0.002
917	11.14	 0.15 	0.0023
918	10.52	 0.32 	0.0046
919	7.74	 0.27 	0.0085
920	23.27	 0.33 	0.0093
921	4.01	 0.10 	0.0071
922	4.53	 0.09 	0.0075
923	12.24	 0.40 	0.0015
924	16.08	 0.04 	0.0081
925	9.38	 0.24 	0.0061
926	7.29	 0.28 	0.0009
927	14.59	 0.31 	0.0085
928	14.48	 0.27 	0.002
929	14.34	 0.10 	0.0013
930	14.74	 0.02 	0.0033
931	14.58	 0.05 	0.0056
932	20.08	 0.28 	0.0064
933	2.16	 0.03 	0.0001
934	9.06	 0.28 	0.0033
935	22.22	 0.06 	0.0031
936	12.52	 0.05 	0.0076
937	21.98	 0.39 	0.0005
938	9.96	 0.26 	0.0085
939	13.83	 0.06 	0.0012
940	7.82	 0.26 	0.0062
941	11.91	 0.25 	0.0083
942	24.85	 0.17 	0.0037
943	16.27	 0.22 	0.0011
944	11.42	 0.34 	0.0034
945	22.83	 0.38 	0.0001
946	15.14	 0.14 	0.0067
947	1.88	 0.35 	0.0042
948	10.53	 0.31 	0.0057
949	16.26	 0.38 	0.0012
950	21.36	 0.31 	0.0014
951	22.85	 0.02 	0.0011
952	1.04	 0.11 	0.004
953	11.05	 0.34 	0.0041
954	21.79	 0.13 	0.0004
955	18.43	 0.04 	0.0004
956	24.77	 0.36 	0.0021
957	0.53	 0.11 	0.0035
958	7.23	 0.23 	0.007
959	1.25	 0.21 	0.008
960	15.27	 0.36 	0.0086
961	24.33	 0.26 	0.0092
962	2.64	 0.06 	0.0073
963	21.64	 0.27 	0.0009
964	1.55	 0.37 	0.0074
965	22.03	 0.24 	0.0052
966	17.4	 0.01 	0.0067
967	22.27	 0.34 	0.0084
968	18.94	 0.17 	0.0061
969	17.15	 0.11 	0.0083
970	3.62	 0.16 	0.0035
971	15.31	 0.30 	0.0054
972	12.01	 0.30 	0.0019
973	24.1	 0.16 	0.0054
974	8.92	 0.21 	0.0079
975	6.37	 0.29 	0.0031
976	1.25	 0.27 	0.003
977	13.6	 0.24 	0.01
978	21.6	 0.32 	0.007
979	6.61	 0.19 	0.0021
980	14.35	 0.26 	0.0035
981	20.85	 0.40 	0.0048
982	14.59	 0.26 	0.0045
983	6.25	 0.32 	0.0071
984	13.08	 0.14 	0.0021
985	12.05	 0.17 	0.0052
986	13.2	 0.08 	0.0096
987	22.63	 0.39 	0.0078
988	17.29	 0.32 	0.0001
989	11.66	 0.09 	0.0042
990	2.54	 0.17 	0.0068
991	10.56	 0.11 	0.0085
992	8.27	 0.22 	0.0066
993	23.94	 0.23 	0.0098
994	21.08	 0.23 	0.005
995	18.42	 0.34 	0.0032
996	2.79	 0.32 	0.0035
997	4.47	 0.31 	0.0057
998	0.13	 0.03 	0.0086
999	8.62	 0.15 	0.0014
1000	13.41	 0.31 	0.0037
1001	4.07	 0.15 	0.0066
1002	17.92	 0.06 	0.0012
1003	21.62	 0.35 	0.0096
1004	21.32	 0.02 	0.0006
1005	19.97	 0.39 	0.0002
1006	3.99	 0.28 	0.0086
1007	1.15	 0.29 	0.0003
1008	6.59	 0.19 	0.0027
1009	13.62	 0.01 	0.0049
1010	22.15	 0.24 	0.0074
1011	14.09	 0.02 	0.0057
1012	21.42	 0.15 	0.0054
1013	4.38	 0.37 	0.0076
1014	22.59	 0.31 	0.0046
1015	0.25	 0.25 	0.003
1016	3.95	 0.31 	0.0088
1017	0.07	 0.19 	0.0004
1018	24.2	 0.24 	0.0064
1019	8.75	 0.36 	0.0077
1020	4.43	 0.37 	0.0056
1021	8.79	 0.06 	0.0041
1022	17.36	 0.03 	0.0098
1023	14.26	 0.18 	0.0044
1024	17.06	 0.06 	0.0052
1025	24.81	 0.13 	0.009
1026	14.32	 0.17 	0.0064
1027	23.72	 0.06 	0.0063
1028	21.14	 0.19 	0.0018
1029	8.31	 0.23 	0.0045
1030	10.51	 0.05 	0.001
1031	1.18	 0.13 	0.01
1032	24.54	 0.28 	0.001
1033	9.19	 0.22 	0.0004
1034	9.09	 0.34 	0.0071
1035	8.37	 0.17 	0.0019
1036	21.74	 0.10 	0.0046
1037	16.34	 0.20 	0.0066
1038	22.26	 0.06 	0.0018
1039	2.26	 0.19 	0.0043
1040	20.33	 0.23 	0.0068
1041	10.57	 0.01 	0.0022
1042	8.05	 0.36 	0.0028
1043	11.39	 0.00 	0.002
1044	19.72	 0.12 	0.0054
1045	20.5	 0.19 	0.0009
1046	23.39	 0.33 	0.0092
1047	4.6	 0.14 	0.0076
1048	16.67	 0.18 	0.0066
1049	5.08	 0.09 	0.0058
1050	7.81	 0.24 	0.0018
1051	4.14	 0.29 	0.0043
1052	2.44	 0.28 	0.002
1053	6.25	 0.36 	0.0038
1054	22.15	 0.25 	0.0013
1055	11.63	 0.30 	0.004
1056	8.83	 0.06 	0.0007
1057	18.24	 0.20 	0.0016
1058	8.37	 0.08 	0.0037
1059	11.15	 0.17 	0.0045
1060	21.54	 0.33 	0.0032
1061	19.05	 0.28 	0.0039
1062	22.31	 0.27 	0.0082
1063	21.31	 0.19 	0.0033
1064	8.5	 0.32 	0.0004
1065	7.22	 0.17 	0.0029
1066	5.9	 0.14 	0.0099
1067	7.7	 0.08 	0.0004
1068	18.92	 0.22 	0.0018
1069	1.98	 0.02 	0.0049
1070	23.09	 0.07 	0.0023
1071	4.75	 0.15 	0.0052
1072	11.32	 0.08 	0.005
1073	8.25	 0.31 	0.0028
1074	2.4	 0.32 	0.0081
1075	2.09	 0.02 	0.0047
1076	6.32	 0.26 	0.0015
1077	0.28	 0.37 	0.0074
1078	11.43	 0.05 	0.0087
1079	13.29	 0.30 	0.0034
1080	3.53	 0.39 	0.0056
1081	24.88	 0.11 	0.0002
1082	6.35	 0.22 	0.0063
1083	11.88	 0.01 	0.0026
1084	16.48	 0.24 	0.0096
1085	9.6	 0.17 	0.0087
1086	15.47	 0.27 	0.0059
1087	5.42	 0.25 	0.0094
1088	12.31	 0.17 	0.004
1089	10.32	 0.37 	0.0018
1090	0.91	 0.37 	0.0001
1091	20.04	 0.17 	0.0089
1092	15.74	 0.29 	0.0057
1093	23.06	 0.36 	0.0001
1094	18.48	 0.09 	0.0062
1095	2.88	 0.18 	0.0055
1096	10.36	 0.03 	0.007
1097	22.15	 0.39 	0.0093
1098	18.69	 0.09 	0.0071
1099	9.78	 0.38 	0.0096
1100	4.65	 0.14 	0.0013
1101	11.4	 0.16 	0.0005
1102	14.8	 0.13 	0.0057
1103	7.32	 0.09 	0.0093
1104	9.91	 0.39 	0.0012
1105	1.67	 0.31 	0.008
1106	0.79	 0.35 	0.0083
1107	6.29	 0.15 	0.0097
1108	24.64	 0.23 	0.0037
1109	3.05	 0.16 	0.0061
1110	16.45	 0.06 	0.0027
1111	19.63	 0.38 	0.0028
1112	6.42	 0.26 	0.0086
1113	2.19	 0.38 	0.0089
1114	16.37	 0.32 	0.0058
1115	1.16	 0.26 	0.0025
1116	2.89	 0.36 	0.0043
1117	15.77	 0.12 	0.0083
1118	15.55	 0.09 	0.0046
1119	13.58	 0.11 	0.0023
1120	10.86	 0.28 	0.0046
1121	9.33	 0.16 	0.0095
1122	0.32	 0.35 	0.0027
1123	20.95	 0.33 	0.0058
1124	17.3	 0.18 	0.002
1125	4.24	 0.09 	0.0043
1126	0.87	 0.14 	0.0074
1127	6.41	 0.17 	0.006
1128	24.38	 0.26 	0.0006
1129	18.33	 0.27 	0.0097
1130	1.73	 0.14 	0.0038
1131	10.13	 0.23 	0.006
1132	5.95	 0.18 	0.0096
1133	16.98	 0.35 	0.0074
1134	22	 0.15 	0.0063
1135	10.33	 0.08 	0.0042
1136	7.99	 0.05 	0.0048
1137	2.34	 0.21 	0.0076
1138	18.92	 0.38 	0.0056
1139	22.52	 0.10 	0.0095
1140	22.52	 0.04 	0.0028
1141	12.84	 0.28 	0.004
1142	17.95	 0.37 	0.0008
1143	10.49	 0.27 	0.0067
1144	9.61	 0.03 	0.0004
1145	9.24	 0.39 	0.0037
1146	3.08	 0.26 	0.0023
1147	19.18	 0.37 	0.005
1148	0.38	 0.33 	0.0099
1149	19.71	 0.01 	0.009
1150	7.5	 0.32 	0.0033
1151	6.38	 0.33 	0.0069
1152	18.08	 0.12 	0.0041
1153	5.85	 0.32 	0.0056
1154	21.03	 0.28 	0.0002
1155	7.56	 0.35 	0.0037
1156	2.78	 0.04 	0.0048
1157	5.11	 0.29 	0.0017
1158	11.26	 0.26 	0.0079
1159	20.41	 0.19 	0.0089
1160	15.73	 0.10 	0.0077
1161	12.19	 0.25 	0.0086
1162	18.79	 0.04 	0.0055
1163	2.42	 0.15 	0.0089
1164	7.4	 0.38 	0.0042
1165	14.77	 0.01 	0.0017
1166	23.09	 0.20 	0.0035
1167	16.28	 0.25 	0.002
1168	16.69	 0.08 	0.0043
1169	13.73	 0.27 	0.0056
1170	0.2	 0.23 	0.004
1171	3.13	 0.08 	0.0015
1172	9.05	 0.28 	0.0012
1173	2.7	 0.19 	0.0055
1174	14.67	 0.36 	0.0045
1175	11.4	 0.06 	0.0094
1176	0.66	 0.20 	0.0042
1177	22.01	 0.14 	0.0047
1178	2.24	 0.08 	0.003
1179	10.45	 0.38 	0.0095
1180	19.1	 0.09 	0.0022
1181	4.42	 0.15 	0.0032
1182	13.21	 0.18 	0.0038
1183	3.47	 0.36 	0.0049
1184	10.48	 0.17 	0.0072
1185	9.61	 0.04 	0.0053
1186	23.53	 0.16 	0.0092
1187	5.8	 0.14 	0.003
1188	11.22	 0.24 	0.006
1189	23.77	 0.31 	0.0031
1190	10.27	 0.18 	0.0043
1191	6.39	 0.31 	0.0037
1192	2.06	 0.11 	0.0032
1193	8.93	 0.35 	0.0077
1194	21.82	 0.34 	0.0082
1195	20.71	 0.18 	0.0002
1196	11.79	 0.34 	0.0039
1197	15.7	 0.23 	0.003
1198	15.2	 0.34 	0.0006
1199	18.17	 0.17 	0.0037
1200	7.4	 0.40 	0.0059
1201	18.32	 0.01 	0.0014
1202	17.65	 0.03 	0.0075
1203	16.42	 0.02 	0.0077
1204	18.56	 0.31 	0.0056
1205	4.05	 0.27 	0.0098
1206	9.32	 0.21 	0.0096
1207	11	 0.02 	0.0027
1208	6.91	 0.34 	0.0035
1209	11.21	 0.28 	0.0054
1210	19.13	 0.21 	0.0017
1211	20.18	 0.25 	0.0069
1212	17.06	 0.17 	0.0054
1213	14.46	 0.30 	0.0025
1214	5.86	 0.01 	0.0065
1215	10.6	 0.28 	0.0019
1216	12.1	 0.23 	0.0064
1217	8.38	 0.14 	0.006
1218	8.65	 0.28 	0.0015
1219	11.68	 0.09 	0.0037
1220	11.65	 0.27 	0.0015
1221	7.96	 0.04 	0.0011
1222	15.33	 0.11 	0.0008
1223	24.63	 0.39 	0.0082
1224	1.33	 0.15 	0.0052
1225	2.93	 0.22 	0.0046
1226	8.94	 0.31 	0.0066
1227	10.28	 0.02 	0.0017
1228	8.15	 0.29 	0.0019
1229	22.55	 0.34 	0.0071
1230	17.95	 0.14 	0.0054
1231	17.52	 0.22 	0.0092
1232	0.65	 0.13 	0.0022
1233	23.21	 0.30 	0.0017
1234	10.21	 0.11 	0.0089
1235	3.43	 0.16 	0.0077
1236	11.9	 0.16 	0.0011
1237	8.11	 0.40 	0.0049
1238	3.61	 0.00 	0.0034
1239	17.07	 0.08 	0.0049
1240	17.62	 0.01 	0.0033
1241	5.46	 0.09 	0.0079
1242	14.66	 0.27 	0.0015
1243	8.67	 0.33 	0.0012
1244	13.49	 0.36 	0.0089
1245	0.6	 0.31 	0.009
1246	4.77	 0.26 	0.0047
1247	20.12	 0.26 	0.0055
1248	1.28	 0.33 	0.001
1249	6.56	 0.37 	0.0036
1250	15.35	 0.20 	0.0022
1251	11.4	 0.33 	0.0003
1252	11.4	 0.15 	0.0041
1253	17.91	 0.18 	0.0098
1254	1.46	 0.33 	0.0058
1255	6.52	 0.24 	0.0062
1256	2.43	 0.20 	0.0025
1257	13.48	 0.03 	0.0061
1258	15.68	 0.11 	0.0066
1259	1.7	 0.12 	0.0041
1260	20.55	 0.07 	0.0033
1261	19.27	 0.17 	0.0046
1262	21.5	 0.11 	0.0086
1263	9.47	 0.40 	0.0078
1264	15.18	 0.19 	0.0061
1265	8.39	 0.27 	0.0042
1266	14.45	 0.06 	0.0099
1267	2.54	 0.04 	0.006
1268	0.65	 0.07 	0.0038
1269	6.01	 0.29 	0.0039
1270	15.46	 0.34 	0.0092
1271	0.75	 0.12 	0.0002
1272	8.84	 0.37 	0
1273	20.28	 0.18 	0.0097
1274	6.56	 0.01 	0.0094
1275	4.65	 0.39 	0.0012
1276	19.26	 0.23 	0.0092
1277	11.24	 0.06 	0.0091
1278	6.29	 0.12 	0.0073
1279	2.96	 0.19 	0.0003
1280	8.62	 0.16 	0.0075
1281	8.59	 0.01 	0.0075
1282	6.66	 0.07 	0.0022
1283	12.11	 0.15 	0.0095
1284	6.16	 0.17 	0.0014
1285	17.95	 0.27 	0.0099
1286	0.27	 0.03 	0.005
1287	0.23	 0.22 	0.0073
1288	12.06	 0.23 	0.0016
1289	13.3	 0.01 	0.0041
1290	23.17	 0.16 	0.0056
1291	0.64	 0.37 	0.0066
1292	12.37	 0.08 	0.0056
1293	23.27	 0.25 	0.0039
1294	7.35	 0.31 	0.0088
1295	7.39	 0.24 	0.0059
1296	9.05	 0.14 	0.0003
1297	18.7	 0.08 	0.0074
1298	1.02	 0.16 	0.0076
1299	10.49	 0.32 	0.0055
1300	21.2	 0.38 	0.0088
1301	17.04	 0.40 	0.0061
1302	21.32	 0.01 	0.0032
1303	16.62	 0.01 	0.0098
1304	22.48	 0.14 	0.0065
1305	9.81	 0.39 	0.0062
1306	8.98	 0.25 	0.0091
1307	11.77	 0.31 	0.0037
1308	10.71	 0.09 	0.0041
1309	1.54	 0.39 	0.0033
1310	16.88	 0.30 	0.0081
1311	13.62	 0.29 	0.003
1312	18.92	 0.29 	0.0096
1313	2.27	 0.07 	0.0035
1314	21.06	 0.06 	0.0017
1315	7.41	 0.18 	0.0056
1316	8.66	 0.08 	0.0082
1317	18.11	 0.38 	0.0014
1318	23.78	 0.33 	0.0055
1319	15.24	 0.29 	0.0068
1320	2.1	 0.27 	0.0087
1321	11.49	 0.11 	0.0068
1322	23.71	 0.00 	0.0083
1323	7.6	 0.21 	0.0051
1324	24.32	 0.00 	0.0067
1325	16.2	 0.27 	0.0064
1326	3.18	 0.37 	0.0072
1327	3.88	 0.26 	0.0066
1328	3.65	 0.36 	0.0011
1329	1.55	 0.31 	0.0055
1330	21.15	 0.38 	0.0036
1331	22.93	 0.28 	0.0085
1332	12.07	 0.34 	0.0035
1333	6.3	 0.28 	0.0062
1334	3.37	 0.18 	0.0097
1335	9.72	 0.20 	0.0051
1336	12.86	 0.10 	0.0028
1337	19.69	 0.15 	0.0052
1338	24.24	 0.01 	0.0083
1339	15.39	 0.04 	0.0008
1340	7.9	 0.10 	0.0092
1341	10.86	 0.11 	0.0091
1342	18.73	 0.21 	0.0096
1343	4.77	 0.32 	0.0039
1344	17.57	 0.12 	0.0018
1345	15.06	 0.31 	0.0059
1346	14.05	 0.07 	0.0066
1347	17.57	 0.21 	0.0012
1348	9.51	 0.21 	0.0038
1349	1.19	 0.18 	0.0024
1350	15.86	 0.33 	0.0041
1351	8.58	 0.03 	0.0066
1352	9.87	 0.37 	0.0056
1353	0.26	 0.13 	0.009
1354	23.84	 0.12 	0.0037
1355	20.26	 0.01 	0.0017
1356	19.39	 0.01 	0.0063
1357	14.26	 0.38 	0.0017
1358	1.01	 0.12 	0.0031
1359	1.15	 0.05 	0.0028
1360	9.79	 0.23 	0.0046
1361	8.61	 0.19 	0.0052
1362	24.84	 0.16 	0.0003
1363	13.78	 0.06 	0.0032
1364	21.38	 0.14 	0.0086
1365	7.5	 0.09 	0.0028
1366	13.3	 0.36 	0.0038
1367	23.4	 0.11 	0.0033
1368	2.79	 0.35 	0.0098
1369	23.51	 0.04 	0.0096
1370	20.2	 0.36 	0.0025
1371	24.43	 0.23 	0.0009
1372	0.3	 0.13 	0.0072
1373	23.69	 0.33 	0.0043
1374	17.97	 0.20 	0.0009
1375	22.58	 0.08 	0.0002
1376	20.09	 0.32 	0.0097
1377	18.63	 0.07 	0.0084
1378	20.56	 0.21 	0.0026
1379	6.22	 0.35 	0.006
1380	12.61	 0.33 	0.0012
1381	0.06	 0.38 	0.0038
1382	0.17	 0.15 	0.005
1383	10.27	 0.11 	0.01
1384	3.52	 0.00 	0.0019
1385	13.86	 0.39 	0.0019
1386	0.56	 0.36 	0.0088
1387	16.98	 0.04 	0.005
1388	24.02	 0.02 	0.0041
1389	16.67	 0.04 	0.0075
1390	22.91	 0.12 	0.0082
1391	21.53	 0.21 	0.0099
1392	12.19	 0.33 	0.0092
1393	15.99	 0.15 	0.0053
1394	11.51	 0.22 	0.0004
1395	22.5	 0.05 	0.0042
1396	17.52	 0.23 	0.0056
1397	4.23	 0.16 	0.0003
1398	19.68	 0.28 	0.0051
1399	17.11	 0.40 	0.0031
1400	2.5	 0.15 	0.007
1401	20.34	 0.36 	0.0047
1402	4.78	 0.10 	0.0015
1403	17.61	 0.39 	0.009
1404	21.86	 0.37 	0.0097
1405	24.57	 0.26 	0.0049
1406	10.85	 0.01 	0.0049
1407	13.63	 0.20 	0.0063
1408	18.8	 0.23 	0.0049
1409	7.65	 0.13 	0.0005
1410	23.73	 0.20 	0.0028
1411	21.37	 0.40 	0.0099
1412	4.51	 0.18 	0.0074
1413	10.8	 0.34 	0.0035
1414	7.6	 0.19 	0.0061
1415	8.34	 0.31 	0.0072
1416	23.57	 0.29 	0.0053
1417	9.62	 0.30 	0.0031
1418	3.98	 0.39 	0.0013
1419	13.36	 0.16 	0.0082
1420	12.96	 0.14 	0.0003
1421	12.61	 0.03 	0.0074
1422	15.13	 0.13 	0.0063
1423	7.9	 0.02 	0.0016
1424	0.55	 0.07 	0.0014
1425	0.17	 0.37 	0.0051
1426	24.6	 0.18 	0.0008
1427	16.07	 0.13 	0.0015
1428	13.34	 0.40 	0.0048
1429	23.71	 0.27 	0.0072
1430	9.2	 0.18 	0.009
1431	15.95	 0.33 	0.0049
1432	8.24	 0.31 	0
1433	17.99	 0.18 	0.01
1434	17.3	 0.08 	0.0072
1435	23.76	 0.36 	0.0095
1436	14.97	 0.25 	0.0087
1437	23.68	 0.22 	0.0085
1438	2.76	 0.24 	0.007
1439	24.52	 0.34 	0.0054
1440	20.41	 0.18 	0.0047
1441	15.31	 0.24 	0.0071
1442	24.18	 0.27 	0.0081
1443	20.45	 0.19 	0.0043
1444	10.2	 0.03 	0.0021
1445	9.63	 0.33 	0.0097
1446	6.19	 0.24 	0.0013
1447	6.59	 0.08 	0.0042
1448	20.51	 0.39 	0.0003
1449	9.73	 0.32 	0.0075
1450	24.84	 0.07 	0.0089
1451	8.1	 0.22 	0.0037
1452	7.86	 0.27 	0.002
1453	23.03	 0.33 	0.0022
1454	8.5	 0.40 	0.0011
1455	18.44	 0.25 	0.0046
1456	18.79	 0.38 	0.0023
1457	15.05	 0.34 	0.0045
1458	24.75	 0.39 	0.0072
1459	15.85	 0.31 	0.0049
1460	1.56	 0.09 	0.0023
1461	9.87	 0.08 	0.0005
1462	6.99	 0.15 	0.0018
1463	0.09	 0.37 	0.0081
1464	1.47	 0.20 	0.0095
1465	17.5	 0.16 	0.0008
1466	4.84	 0.16 	0.0043
1467	8.94	 0.16 	0.0026
1468	4.72	 0.39 	0.0002
1469	9.39	 0.13 	0.0047
1470	4.45	 0.18 	0.0051
1471	6.65	 0.23 	0.0064
1472	4.99	 0.25 	0.0076
1473	3.63	 0.22 	0.006
1474	22	 0.37 	0.0091
1475	17.72	 0.35 	0.0045
1476	5.28	 0.24 	0.0027
1477	22.27	 0.20 	0.0094
1478	4.81	 0.21 	0.0028
1479	12.36	 0.34 	0.0077
1480	5.24	 0.03 	0.0073
1481	2.29	 0.34 	0.0068
1482	8.14	 0.38 	0.0011
1483	16.28	 0.08 	0.0008
1484	4.1	 0.13 	0.0013
1485	19.04	 0.35 	0.0035
1486	17.26	 0.04 	0.0026
1487	23.78	 0.16 	0.0098
1488	12.68	 0.16 	0.0007
1489	0.78	 0.26 	0.0033
1490	16.71	 0.32 	0.0077
1491	6.51	 0.09 	0.0011
1492	15.84	 0.08 	0.0004
1493	17.47	 0.25 	0.0067
1494	16.14	 0.12 	0.004
1495	0.3	 0.38 	0.0025
1496	3.3	 0.16 	0.009
1497	15.82	 0.19 	0.0087
1498	18.78	 0.39 	0.0021
1499	22.25	 0.03 	0.0054
1500	1.35	 0.35 	0.0003
1501	15.39	 0.08 	0.0038
1502	10.04	 0.01 	0.0064
1503	1.24	 0.09 	0.0078
1504	2.81	 0.27 	0.001
1505	1.21	 0.11 	0.0059
1506	13.04	 0.31 	0.0042
1507	19.26	 0.21 	0.0062
1508	10.47	 0.07 	0.0066
1509	4.44	 0.24 	0.0021
1510	1.45	 0.03 	0.0017
1511	7.86	 0.24 	0.0055
1512	13.78	 0.34 	0.009
1513	11.98	 0.18 	0
1514	9.05	 0.16 	0.0038
1515	15.71	 0.10 	0.0077
1516	2.16	 0.19 	0.0035
1517	20.41	 0.05 	0.0072
1518	5.58	 0.01 	0.0077
1519	7.03	 0.05 	0.0045
1520	16.73	 0.36 	0.0092
1521	16.4	 0.39 	0.005
1522	24.14	 0.01 	0.0024
1523	6.87	 0.24 	0.0027
1524	17.19	 0.20 	0.0046
1525	2.12	 0.08 	0.0054
1526	1.01	 0.38 	0.0021
1527	11.48	 0.18 	0.0034
1528	3.1	 0.40 	0.0056
1529	24.75	 0.40 	0.0059
1530	22.4	 0.12 	0.0088
1531	10.31	 0.22 	0.0085
1532	23.17	 0.14 	0.0046
1533	2.93	 0.04 	0.0019
1534	15.63	 0.25 	0.007
1535	14.7	 0.11 	0.0086
1536	2.55	 0.23 	0.0034
1537	6.13	 0.26 	0.0088
1538	21.18	 0.26 	0.0007
1539	16.25	 0.03 	0.0088
1540	8.69	 0.39 	0.0066
1541	11.06	 0.28 	0.0026
1542	9.4	 0.40 	0.0023
1543	17.3	 0.32 	0.0015
1544	10.13	 0.21 	0.002
1545	13.1	 0.22 	0.0079
1546	24.26	 0.01 	0.0053
1547	5.64	 0.28 	0.0003
1548	21.6	 0.18 	0.0088
1549	17.49	 0.05 	0.0007
1550	9.21	 0.04 	0.0099
1551	10.92	 0.26 	0.0052
1552	2.9	 0.39 	0.003
1553	2.61	 0.33 	0.0026
1554	6.97	 0.34 	0.0085
1555	13.68	 0.05 	0.0041
1556	19.47	 0.40 	0.0068
1557	8.27	 0.01 	0.0025
1558	1.22	 0.25 	0.0056
1559	13.27	 0.26 	0.0092
1560	2.54	 0.13 	0.0044
1561	22.64	 0.26 	0.0083
1562	9.17	 0.27 	0.0085
1563	12.24	 0.28 	0.0062
1564	22.01	 0.10 	0.0085
1565	21.43	 0.07 	0.0021
1566	22.2	 0.18 	0.0017
1567	8.67	 0.29 	0.0079
1568	21.46	 0.14 	0.0079
1569	11.42	 0.09 	0.0071
1570	3.29	 0.37 	0.0084
1571	24.34	 0.30 	0.0075
1572	0.39	 0.25 	0.0017
1573	18.22	 0.36 	0.0088
1574	13.81	 0.21 	0.0096
1575	14.58	 0.09 	0.009
1576	13.97	 0.38 	0.0087
1577	12.41	 0.23 	0.007
1578	24.34	 0.02 	0.0085
1579	1.56	 0.18 	0.0075
1580	15	 0.01 	0.0081
1581	22.69	 0.31 	0.0081
1582	13.99	 0.21 	0.0007
1583	8.75	 0.07 	0.0054
1584	5.15	 0.02 	0.0081
1585	13.68	 0.29 	0.0055
1586	15.35	 0.00 	0.0046
1587	24.04	 0.01 	0.0097
1588	13.4	 0.08 	0.0061
1589	23.44	 0.03 	0.0014
1590	15.29	 0.09 	0.0089
1591	13.98	 0.07 	0.0093
1592	2.11	 0.40 	0.0045
1593	23.84	 0.16 	0.0098
1594	9.08	 0.02 	0.0035
1595	21.85	 0.14 	0.0075
1596	13.14	 0.35 	0.007
1597	12.59	 0.35 	0.0002
1598	14.98	 0.04 	0.0007
1599	18.42	 0.25 	0.0014
1600	21.41	 0.23 	0.0099
1601	10.12	 0.01 	0.001
1602	4.15	 0.04 	0.0057
1603	6.67	 0.39 	0.0014
1604	24.19	 0.35 	0.0041
1605	24.39	 0.18 	0.0027
1606	13.4	 0.28 	0.0022
1607	16.97	 0.20 	0.0017
1608	9.05	 0.19 	0.0091
1609	15.81	 0.05 	0.0008
1610	18.52	 0.03 	0.0017
1611	18.82	 0.38 	0.0016
1612	0.69	 0.39 	0.0058
1613	16.81	 0.20 	0.0053
1614	1.19	 0.37 	0.0098
